Straight,EP,USP,Knot security,Diameter,Tie-down,Fast Avg,Fast Min,Moisture
,8.25,,7.29,0.486,,6.13,5.96,103
,8.23,,7.26,0.492,,6.49,6.30,
,8.22,,6.47,0.498,,6.39,6.15,
,7.93,,7.24,0.491,,6.08,5.83,
12.74,8.28,7.36,6.82,0.489,0.98,5.57,5.00,159
,7.69,,6.33,0.489,,5.12,4.68,176
,8.27,,7.16,0.483,,6.37,6.11,
,7.96,,6.95,0.488,,5.98,5.77,
,8.18,,6.76,0.493,,6.06,5.70,
,8.38,,6.97,0.493,,5.81,5.52,
13.86,8.22,6.96,7.00,0.493,1.08,6.06,5.59,120
,8.41,,6.97,0.490,,5.69,5.34,134
,8.62,,6.82,0.493,,6.34,5.77,152
,8.42,,6.90,0.481,,6.16,5.82,
,8.05,,7.20,0.487,,5.37,5.12,
,7.97,,6.93,0.489,,5.81,5.53,
13.37,8.02,7.53,6.83,0.482,1.12,5.25,4.80,144
,8.27,,6.65,0.488,,5.35,4.75,184
,8.07,,6.95,0.492,,5.75,5.50,140
,8.03,,7.60,0.495,,5.89,5.49,
,8.40,,7.60,0.492,,5.50,5.34,
,7.57,,6.79,0.479,,5.67,5.34,
13.42,7.91,7.46,6.65,0.478,1.25,6.05,5.61,139
,8.28,,7.12,0.480,,6.12,5.81,29
,8.30,,7.22,0.480,,6.20,5.89,
,7.79,,7.06,0.486,,5.41,5.01,
,8.17,,6.58,0.491,,5.62,5.18,
13.04,7.99,7.32,6.76,0.486,1.14,6.31,6.10,194
,8.20,,7.22,0.486,,6.15,6.02,157
,8.38,,6.99,0.490,,6.18,5.97,87
,8.19,,7.20,0.497,,6.30,5.87,
,8.19,,7.12,0.490,,5.82,5.51,
,8.28,,7.58,0.496,,5.60,5.03,
13.88,8.55,7.34,7.30,0.497,1.08,6.85,6.59,120
,8.31,,6.76,0.497,,6.40,6.18,97
,7.99,,7.32,0.486,,6.18,6.04,92
,8.25,,7.51,0.498,,6.37,6.12,183
,8.11,,7.25,0.489,,5.70,5.28,
14.05,8.30,7.64,7.63,0.489,0.99,6.02,5.93,100
,8.06,,7.98,0.498,,5.89,5.66,149
,8.29,,7.58,0.499,,6.40,5.83,112
,8.64,,7.94,0.496,,6.24,5.95,
,8.75,,8.00,0.499,,6.39,6.15,
,8.09,,7.91,0.496,,6.02,5.78,
,8.05,,6.65,0.490,,6.29,5.96,
13.53,8.32,7.61,7.62,0.497,0.97,6.42,6.05,23
,8.60,,7.45,0.488,,6.32,6.19,56
,8.21,,7.35,0.485,,5.68,5.14,116
,8.32,,7.64,0.498,,6.43,5.80,
,8.21,,7.42,0.491,,5.42,4.99,
12.81,7.88,7.55,6.83,0.487,1.10,6.28,6.06,101
,8.36,,7.03,0.496,,6.31,6.04,105
,7.69,,6.71,0.481,,6.15,5.73,144
,8.14,,7.45,0.497,,5.79,5.37,
,8.14,,7.05,0.483,,6.35,6.09,
,8.22,,7.59,0.487,,6.76,5.91,
13.90,8.23,8.03,7.72,0.496,1.07,6.69,6.32,130
,7.84,,7.53,0.489,,6.10,5.90,46
,8.73,,7.14,0.495,,6.12,5.55,84
,8.48,,6.95,0.498,,6.03,5.78,
,8.25,,7.40,0.492,,5.42,5.15,
,8.51,,6.81,0.499,,6.41,6.24,
12.28,8.12,6.93,6.81,0.489,0.96,6.10,5.91,242
,8.07,,6.79,0.495,,6.03,5.64,193
,8.16,,6.94,0.495,,6.09,5.77,204
,7.80,,6.18,0.488,,5.92,5.74,
,8.29,,6.48,0.491,,6.11,5.96,
,8.11,,6.16,0.495,,5.96,5.76,
13.06,8.14,7.38,6.48,0.493,0.99,6.01,5.80,85
,8.16,,6.77,0.492,,6.39,6.17,54
,8.34,,6.51,0.489,,5.46,5.35,131
,7.88,,6.66,0.491,,5.89,5.57,209
,7.89,,6.67,0.493,,5.80,5.45,88
,8.01,,6.60,0.484,,6.17,5.91,
,8.26,,6.71,0.487,,5.49,5.12,
12.90,8.12,7.23,6.56,0.483,1.35,5.98,5.73,88
,7.94,,6.38,0.495,,5.33,4.30,83
,8.11,,6.83,0.494,,6.03,5.64,
,7.94,,6.65,0.490,,5.92,5.49,
12.76,7.82,7.08,6.25,0.486,0.97,5.75,5.54,154
,7.74,,6.47,0.491,,5.49,5.12,184
,7.70,,6.25,0.494,,5.97,5.84,87
,7.61,,6.37,0.493,,5.67,5.53,64
,7.76,,6.39,0.490,,5.93,5.82,
,7.98,,6.44,0.487,,,,
12.58,7.76,6.89,6.74,0.492,1.01,5.68,5.35,35
,8.13,,6.24,0.484,,5.95,5.63,35
,7.90,,6.38,0.487,,5.59,5.05,
,8.22,,6.37,0.490,,6.06,5.61,
,8.09,,6.72,0.490,,5.80,5.51,
12.54,7.90,7.01,6.74,0.489,0.91,5.75,5.02,41
,8.36,,6.90,0.491,,6.01,5.51,70
,7.98,,6.62,0.495,,5.95,5.72,45
,8.31,,6.29,0.495,,5.97,5.69,
,8.10,,6.50,0.479,,6.36,5.93,
12.71,8.20,6.98,6.54,0.493,0.53,5.99,5.48,76
,8.13,,6.38,0.499,,6.25,6.06,257
,8.03,,6.35,0.486,,5.86,5.36,61
,8.02,,6.55,0.493,,5.67,5.20,
,8.27,,6.32,0.487,,6.40,6.13,
13.12,8.09,7.24,6.44,0.489,0.74,6.29,5.95,57
,8.06,,6.49,0.497,,6.65,6.33,39
,8.08,,6.61,0.493,,6.41,6.19,35
,7.92,,6.51,0.492,,5.85,5.28,74
,8.12,,6.53,0.494,,6.24,5.89,
,8.33,,6.37,0.493,,6.05,5.80,
13.53,8.33,7.23,6.00,0.490,0.71,6.10,5.90,48
,8.25,,6.72,0.487,,6.11,5.86,47
,7.91,,6.40,0.490,,5.84,5.42,98
,8.26,,6.21,0.484,,5.61,5.37,
,8.14,,6.68,0.481,,5.72,5.48,
,8.28,,6.32,0.489,,5.82,5.58,
,8.31,,5.93,0.488,,5.74,5.46,
13.13,7.90,7.34,7.64,0.485,0.71,5.82,5.15,78
,7.84,,7.30,0.487,,6.07,5.78,76
,8.13,,6.16,0.489,,5.68,5.43,89
,8.09,,7.39,0.485,,6.23,6.01,
,7.90,,6.53,0.487,,6.26,6.05,
12.72,8.23,7.15,6.49,0.485,0.83,5.95,5.78,84
,7.86,,6.31,0.482,,5.98,5.76,104
,8.20,,6.43,0.492,,6.03,5.86,126
,8.30,,6.32,0.488,,5.93,5.82,
,8.20,,6.48,0.493,,5.94,5.83,
,8.15,,6.27,0.484,,6.04,5.78,
13.62,8.41,7.86,6.98,0.489,0.66,6.50,6.15,163
,8.32,,6.83,0.493,,6.63,6.22,
13.26,8.04,7.54,6.92,0.485,0.71,5.88,5.60,56
,7.85,,6.86,0.490,,5.83,5.51,63
,8.23,,6.39,0.481,,5.41,5.17,64
,7.96,,6.28,0.489,,6.06,5.97,
,8.17,,6.08,0.489,,6.03,5.58,
,8.10,,6.00,0.485,,5.75,5.69,
12.94,8.14,7.25,6.14,0.494,1.00,6.25,6.05,81
,8.27,,6.39,0.485,,6.19,5.76,
,8.01,,6.40,0.484,,5.55,5.34,
,8.07,,6.96,0.485,,5.80,5.64,
,8.12,,6.54,0.490,,5.31,4.50,
,7.98,,6.13,0.488,,5.16,4.95,
,8.21,,6.51,0.489,,5.48,5.13,
,7.90,,7.34,0.483,,6.31,6.00,
,8.14,,7.23,0.483,,6.32,6.15,
,8.00,,6.44,0.488,,6.35,6.12,
,8.25,,6.82,0.490,,6.14,6.00,
,8.15,,6.85,0.488,,6.12,5.79,
,8.18,,6.16,0.488,,6.11,5.81,
,8.17,,6.90,0.492,,6.14,5.83,
,8.03,,6.53,0.492,,5.99,5.70,
,8.02,,6.77,0.491,,6.16,5.93,
,7.90,,6.11,0.490,,5.78,5.70,
,8.02,,6.60,0.485,,5.92,5.68,
,8.16,,7.25,0.491,,5.93,5.52,
,8.13,,7.00,0.490,,6.13,5.81,113
13.31,8.44,7.36,6.90,0.486,0.91,5.97,5.83,73
,8.13,,6.60,0.495,,5.80,5.57,52
,8.56,,6.36,0.490,,6.24,5.95,90
,8.09,,6.58,0.479,,6.03,5.85,
,8.12,,7.03,0.492,,5.28,4.81,
,7.86,,6.60,0.490,,6.10,5.62,
12.94,8.01,7.05,6.65,0.489,1.01,6.25,6.05,39
,8.39,,6.26,0.487,,5.93,5.67,
,8.34,,6.44,0.487,,5.45,5.24,
,8.18,,7.20,0.488,,6.01,5.74,
,8.24,,6.37,0.490,,5.85,5.65,
,8.13,,6.44,0.488,,5.86,5.76,
,8.06,,5.79,0.484,,5.30,4.97,
,7.95,,6.43,0.495,,6.18,5.88,
,8.24,,6.16,0.489,,5.75,5.54,
,8.11,,6.58,0.492,,6.26,5.97,
,8.16,,6.17,0.494,,5.78,5.44,
,7.98,,6.16,0.483,,6.28,6.00,
,8.10,,6.15,0.489,,5.68,5.47,
,8.15,,6.23,0.485,,5.96,5.64,
,7.94,,6.37,0.490,,5.91,5.66,
,8.26,,6.80,0.489,,5.40,5.31,
,8.10,,6.14,0.491,,5.23,4.95,
,8.34,,6.71,0.495,,5.49,5.29,
,7.93,,6.44,0.494,,5.54,5.36,
,7.90,,5.82,0.491,,5.13,4.88,
13.58,8.02,6.91,6.22,0.484,0.79,5.34,4.71,125
,8.22,,6.06,0.495,,6.07,5.89,139
,8.15,,6.65,0.492,,6.16,5.88,
,8.21,,6.55,0.485,,5.62,5.48,
,8.39,,6.33,0.489,,5.44,5.14,
,8.00,,6.25,0.490,,5.28,4.87,
13.21,8.28,7.02,6.54,0.499,0.77,5.89,5.60,
13.30,8.26,7.26,6.63,0.490,0.89,5.68,5.53,
13.19,7.95,7.46,6.36,0.489,1.35,5.30,5.02,
13.69,7.99,7.41,6.04,0.490,0.91,5.17,4.78,
13.32,8.05,7.19,7.14,0.489,0.83,5.79,5.63,
13.49,8.04,7.72,6.21,0.492,0.97,5.58,4.89,
,8.24,,6.74,0.484,,6.34,6.02,
,8.33,,6.74,0.493,,6.20,6.02,
,8.09,,6.57,0.485,,6.06,5.69,
,8.37,,6.73,0.492,,6.20,5.86,
,8.03,,6.54,0.483,,6.13,6.01,
,7.88,,6.51,0.492,,6.01,5.78,
,8.25,,6.78,0.486,,6.22,5.94,
,8.20,,6.58,0.493,,5.97,5.83,
,8.14,,6.60,0.489,,6.19,6.00,
,8.25,,6.89,0.490,,6.17,5.95,
,8.42,,7.12,0.486,,6.15,5.96,
,8.07,,6.89,0.494,,5.69,5.46,
,8.00,,7.20,0.488,,5.35,5.13,
13.04,8.18,6.86,6.86,0.489,1.67,5.38,5.05,44
,8.28,,7.13,0.490,,5.85,5.65,25
,8.13,,6.81,0.492,,5.72,5.44,23
,8.01,,7.05,0.492,,5.85,5.59,
,8.15,,6.93,0.491,,5.93,5.68,
,8.21,,6.53,0.497,,6.01,5.81,
12.76,8.14,7.13,6.93,0.489,0.91,5.94,5.64,150
,7.87,,6.49,0.498,,5.62,5.54,53
,8.07,,6.15,0.488,,5.96,5.74,59
,8.41,,5.57,0.495,,5.80,5.63,
,8.09,,6.33,0.494,,5.66,5.50,
,8.01,,5.93,0.492,,5.91,5.77,
13.73,7.99,7.62,5.94,0.498,0.89,5.99,5.65,96
,7.89,,5.87,0.492,,5.92,5.64,58
,8.25,,6.56,0.487,,5.78,5.52,137
,8.12,,6.08,0.494,,5.56,5.43,237
,7.90,,6.11,0.499,,5.13,4.71,
,8.31,,7.16,0.491,,6.01,5.76,
13.21,8.14,6.80,5.39,0.488,0.74,5.83,5.64,116
,8.19,,5.96,0.482,,5.91,5.78,98
,8.24,,6.79,0.494,,6.01,5.74,104
,8.15,,6.68,0.487,,5.82,5.69,
,7.96,,6.22,0.493,,5.25,4.62,
12.65,8.19,6.95,6.86,0.494,1.05,6.10,5.83,134
,7.98,,6.77,0.487,,6.22,6.10,208
,8.20,,6.95,0.485,,5.85,5.23,156
,8.21,,6.65,0.497,,5.72,5.62,
,8.05,,6.96,0.495,,5.86,5.65,
,8.01,,6.56,0.492,,6.20,5.98,
13.38,8.20,7.10,6.77,0.488,0.86,6.08,5.71,90
,7.94,,6.60,0.492,,6.16,5.92,74
,7.80,,6.40,0.494,,5.69,5.49,
,8.24,,7.31,0.494,,6.15,5.79,
,7.96,,5.99,0.488,,5.98,5.82,
,8.07,,6.77,0.488,,6.04,5.43,
12.88,8.33,7.25,6.81,0.489,0.92,6.05,5.82,129
,7.95,,6.29,0.483,,5.89,5.67,162
,8.00,,6.74,0.485,,5.86,5.65,148
,7.90,,6.76,0.493,,6.17,6.05,
,8.07,,6.62,0.495,,5.82,5.54,
,7.87,,6.95,0.483,,5.69,4.97,
,8.05,,7.10,0.485,,6.12,5.90,
13.28,8.09,7.42,6.85,0.491,0.73,6.35,6.18,
,8.03,,7.10,0.488,,6.24,5.95,
,7.91,,6.82,0.488,,5.19,4.57,
,8.12,,6.38,0.486,,6.25,5.98,62
,8.22,,6.61,0.487,,6.20,5.93,56
,8.07,,6.26,0.483,,5.97,5.66,
12.14,8.27,7.63,5.80,0.484,0.84,6.32,5.98,159
,8.14,,6.65,0.487,,5.48,4.95,228
,8.29,,6.19,0.490,,5.98,5.42,218
,7.84,,6.42,0.481,,5.99,5.61,
,7.78,,6.84,0.487,,5.93,5.48,
,8.08,,6.84,0.483,,6.05,5.85,
13.02,8.26,7.35,6.92,0.492,1.04,6.35,6.23,172
,8.01,,6.89,0.488,,6.17,6.03,253
,8.00,,6.86,0.487,,5.26,5.06,220
,8.21,,7.01,0.486,,6.51,6.36,
,8.07,,7.06,0.485,,6.15,6.06,
,8.13,,6.59,0.489,,6.55,6.08,
13.44,7.84,7.13,6.98,0.480,1.28,5.96,5.78,261
,8.02,,6.21,0.493,,6.01,5.69,119
,7.91,,6.61,0.489,,6.04,5.86,91
,7.94,,6.57,0.483,,5.95,5.58,
,7.86,,6.23,0.486,,6.10,5.81,
,8.24,,7.17,0.484,,5.98,5.81,
11.99,7.95,6.74,6.61,0.487,0.72,5.71,5.54,40
,7.93,,6.49,0.484,,5.16,4.76,119
,7.99,,6.54,0.485,,5.74,5.43,149
,8.04,,6.80,0.489,,5.95,5.74,146
,8.22,,7.03,0.496,,5.85,5.56,
12.80,8.42,6.91,7.03,0.496,0.83,6.05,5.61,255
,8.16,,7.02,0.488,,6.23,6.09,247
,8.08,,6.36,0.486,,6.14,5.95,137
,8.05,,6.31,0.486,,5.30,4.83,
,7.92,,6.90,0.492,,5.92,5.82,
12.76,8.08,7.17,6.81,0.493,1.04,5.99,5.37,119
,8.17,,6.70,0.489,,6.06,5.81,57
,8.13,,6.80,0.486,,5.65,5.48,63
,7.88,,6.26,0.488,,6.14,5.79,
,7.96,,6.71,0.486,,6.15,5.96,
,8.22,,6.69,0.491,,6.03,5.80,
,8.21,,5.71,0.483,,6.10,5.76,
13.59,7.93,7.14,6.41,0.489,0.77,5.92,5.29,35
,8.13,,5.88,0.489,,6.66,6.23,
12.65,7.95,6.78,6.91,0.489,0.82,5.92,5.49,88
,8.24,,6.31,0.489,,5.94,5.77,108
,8.21,,6.55,0.495,,6.08,5.85,
,8.12,,6.32,0.491,,6.06,5.77,
,8.00,,6.22,0.494,,6.08,5.69,
12.08,8.02,6.92,5.81,0.488,1.35,5.92,5.62,138
,7.72,,6.27,0.468,,5.82,5.54,130
,7.94,,6.17,0.479,,5.81,5.53,
,7.80,,6.41,0.477,,5.85,5.63,
12.10,7.94,6.89,6.39,0.470,0.78,5.98,5.68,245
,7.90,,6.49,0.485,,5.87,5.69,201
,7.95,,6.40,0.489,,5.47,5.08,276
,8.19,,6.49,0.492,,6.01,5.58,61
,8.20,,7.03,0.490,,6.11,5.88,
,7.97,,6.56,0.480,,6.09,5.61,
,7.79,,6.14,0.482,,6.13,5.89,
12.04,8.15,7.10,6.43,0.481,0.78,6.20,5.79,120
,8.21,,6.10,0.475,,6.32,6.13,92
,8.08,,6.67,0.478,,6.36,6.09,
,7.88,,6.78,0.478,,6.27,6.12,
13.02,8.33,7.49,6.92,0.486,0.82,6.27,6.02,179
,8.42,,6.81,0.485,,6.23,6.05,169
,8.16,,7.02,0.490,,6.15,5.95,60
,8.32,,6.66,0.493,,6.30,5.91,
,7.91,,6.38,0.473,,6.07,5.77,
,8.15,,6.27,0.487,,6.33,6.01,
12.72,8.02,7.54,6.51,0.494,0.81,6.18,5.97,41
,7.98,,6.65,0.484,,5.77,5.46,77
,7.94,,6.94,0.485,,5.96,5.56,81
,8.27,,6.28,0.490,,6.02,5.75,
,8.04,,7.10,0.490,,5.92,5.62,
,8.35,,5.62,0.484,,5.98,5.82,
,7.87,,6.68,0.471,,5.99,5.54,
12.56,7.81,7.48,5.88,0.490,0.81,5.91,5.46,122
,7.78,,6.65,0.479,,5.87,5.66,133
,8.04,,6.85,0.469,,5.95,5.67,
,8.22,,6.66,0.464,,6.30,6.15,
,7.97,,6.91,0.493,,6.03,5.67,
13.54,8.23,7.15,7.08,0.467,0.92,5.83,5.42,128
,7.48,,7.04,0.465,,6.09,5.73,97
,8.07,,6.59,0.487,,5.38,5.07,114
,7.70,,6.11,0.488,,5.14,4.48,
,8.09,,6.70,0.489,,6.46,6.20,
12.74,8.35,6.73,6.74,0.484,1.16,5.96,5.76,131
,8.00,,6.45,0.490,,5.68,5.39,166
,7.84,,6.68,0.486,,5.89,5.73,163
,8.12,,6.74,0.486,,5.66,5.33,
,7.73,,6.61,0.486,,5.85,5.64,
12.60,7.91,7.38,6.23,0.490,1.03,5.12,4.44,45
,7.95,,6.53,0.491,,5.78,5.61,60
,7.76,,6.21,0.484,,5.70,5.38,92
,8.14,,6.42,0.495,,5.40,4.34,
,7.74,,6.73,0.486,,5.42,5.11,
,8.25,,6.42,0.488,,5.82,5.39,
,7.87,,6.90,0.492,,5.96,5.79,
13.35,8.25,7.46,6.66,0.487,0.93,5.36,4.65,137
,8.36,,6.96,0.494,,6.16,6.05,95
,8.35,,7.78,0.485,,5.54,4.53,101
,8.29,,6.87,0.495,,5.83,5.63,114
,8.25,,6.51,0.498,,6.32,6.13,
13.48,8.16,7.30,6.56,0.490,0.34,6.08,5.91,59
,8.24,,6.90,0.490,,5.55,4.48,94
,8.30,,6.97,0.491,,5.80,5.56,
,8.42,,6.43,0.495,,6.37,6.01,
13.20,8.08,7.52,6.69,0.484,0.80,5.47,5.26,47
,7.97,,6.27,0.489,,6.29,5.76,26
,8.12,,6.65,0.487,,6.15,6.01,61
,8.33,,6.58,0.492,,5.88,5.49,43
,8.09,,6.61,0.492,,6.26,5.95,
,8.06,,6.13,0.487,,5.61,5.40,
,8.13,,6.54,0.485,,6.38,6.09,
12.87,8.04,7.16,7.09,0.488,1.29,5.98,5.89,264
,8.05,,6.74,0.492,,6.10,5.88,108
,8.10,,6.24,0.484,,6.07,5.85,94
,8.42,,7.69,0.487,,6.18,5.89,
,8.37,,7.20,0.485,,6.23,5.99,
,8.46,,7.20,0.489,,6.04,5.71,
13.45,8.21,7.11,7.30,0.492,0.77,5.46,4.74,110
,8.23,,7.09,0.486,,6.09,5.89,230
,8.12,,6.82,0.496,,6.14,5.85,148
,8.32,,6.79,0.484,,6.15,5.91,196
,8.14,,6.46,0.481,,6.22,6.00,
,8.20,,6.94,0.490,,5.97,5.77,
13.18,8.41,7.36,7.06,0.489,1.01,6.83,6.28,159
,8.56,,6.88,0.497,,5.57,5.00,131
,8.44,,5.90,0.479,,5.86,5.64,187
,8.28,,7.33,0.494,,5.79,5.64,
,8.68,,6.85,0.490,,6.10,5.97,
,8.25,,7.26,0.490,,5.69,5.43,
,8.57,,6.65,0.496,,5.61,5.40,
13.37,8.42,7.55,6.85,0.488,0.83,5.68,5.30,114
,8.39,,6.74,0.496,,5.76,5.28,167
,8.22,,7.27,0.497,,5.93,5.73,217
,8.28,,6.99,0.490,,5.86,5.57,
,8.04,,6.84,0.495,,5.92,5.48,
,8.24,,6.76,0.482,,6.05,5.87,
,8.15,,6.66,0.494,,5.94,5.90,
,8.50,,6.90,0.493,,5.83,4.65,
13.56,8.31,7.24,7.01,0.492,1.13,5.52,5.29,105
,8.21,,6.56,0.486,,6.01,5.68,88
,8.48,,7.55,0.498,,5.87,5.67,137
,8.33,,6.72,0.493,,5.90,5.55,156
,8.21,,6.71,0.484,,6.20,5.79,172
,8.41,,6.87,0.497,,5.91,5.63,
,8.27,,7.29,0.497,,5.76,5.40,
13.54,8.51,7.21,6.94,0.484,1.22,5.62,5.52,101
,8.63,,7.23,0.499,,5.90,5.62,122
,8.65,,6.72,0.475,,5.88,4.81,239
,8.46,,6.76,0.475,,6.01,5.72,
,8.40,,6.99,0.477,,6.03,5.85,
,8.44,,6.71,0.489,,6.06,5.73,
,8.48,,7.04,0.483,,6.06,5.84,
13.83,8.45,7.26,7.31,0.496,1.29,6.13,5.92,120
,8.33,,7.27,0.481,,6.19,6.01,69
,8.53,,7.11,0.491,,6.19,5.89,80
,8.65,,7.45,0.491,,5.94,5.57,
,8.33,,6.48,0.485,,6.19,5.48,
,8.44,,6.88,0.497,,5.96,5.70,
,8.36,,6.54,0.482,,5.89,5.61,
13.57,8.38,7.49,6.64,0.483,1.13,5.76,5.49,74
,8.28,,6.61,0.486,,5.68,5.52,244
,8.35,,6.39,0.488,,5.74,5.62,63
,8.40,,7.20,0.483,,5.62,5.33,78
,8.49,,7.24,0.485,,5.56,5.41,
,8.27,,6.85,0.487,,5.47,5.17,
13.11,8.01,7.14,7.02,0.491,0.98,6.18,5.89,136
,8.24,,6.76,0.486,,6.33,6.01,143
,8.44,,6.47,0.487,,5.73,5.56,225
,8.25,,6.67,0.489,,5.85,5.68,
,8.10,,6.61,0.486,,5.67,5.21,
,8.16,,6.90,0.485,,5.82,5.65,
,8.13,,6.80,0.491,,5.70,5.38,
,8.47,,6.66,0.491,,5.61,5.29,
13.09,8.44,7.55,6.33,0.495,1.08,6.23,5.83,138
,8.52,,6.73,0.497,,5.98,5.70,104
,8.68,,7.17,0.483,,6.29,6.03,
,8.88,,7.21,0.497,,6.31,6.15,
,8.74,,7.82,0.499,,6.21,6.00,
13.39,8.62,7.38,6.70,0.493,1.01,5.91,5.59,98
,8.51,,6.45,0.482,,5.81,5.62,127
,8.29,,6.30,0.486,,5.68,5.35,
,8.39,,6.57,0.488,,5.59,5.21,
,8.81,,6.89,0.496,,6.05,5.96,
,8.70,,6.77,0.492,,5.93,5.58,
,8.80,,7.18,0.492,,5.85,5.54,
13.22,8.48,7.55,7.35,0.489,0.69,6.19,5.60,23
,8.36,,6.84,0.487,,6.28,6.08,33
,8.21,,7.24,0.485,,6.52,6.22,
,8.11,,7.05,0.491,,5.72,5.50,
,7.95,,7.00,0.486,,5.87,5.60,
13.48,8.17,7.07,6.41,0.486,0.89,5.34,5.05,66
,8.15,,7.38,0.490,,5.36,5.01,266
,8.57,,6.91,0.484,,5.59,5.13,275
,8.24,,6.67,0.474,,5.50,5.18,218
,8.38,,7.49,0.493,,5.48,4.84,
,8.59,,6.72,0.481,,5.76,5.31,
12.42,8.40,7.16,6.22,0.493,0.82,5.51,5.25,261
,8.08,,6.80,0.489,,6.05,5.87,112
,8.20,,7.05,0.493,,5.74,5.43,
,8.35,,6.90,0.493,,5.81,5.59,
,8.20,,6.19,0.494,,5.87,5.42,
,8.32,,6.46,0.485,,6.00,5.56,
13.83,8.46,7.37,6.85,0.490,1.02,5.63,5.45,170
,8.22,,7.11,0.491,,5.51,5.37,211
,8.43,,7.05,0.489,,5.73,5.21,128
,8.32,,6.87,0.495,,5.51,5.26,
,8.10,,6.97,0.493,,5.74,5.34,
,8.24,,7.14,0.497,,5.65,5.42,
13.30,8.50,7.47,6.33,0.497,0.98,6.04,5.56,41
,8.11,,7.30,0.484,,6.19,5.87,53
,8.36,,6.86,0.490,,6.14,5.88,
,8.30,,6.97,0.490,,5.98,5.46,
,8.37,,6.75,0.489,,5.61,5.11,
,8.79,,6.82,0.494,,5.92,5.80,271
,8.68,,7.41,0.490,,5.86,5.63,262
,8.09,,7.19,0.474,,6.10,5.72,
,8.20,,7.66,0.484,,6.15,5.97,
,8.20,,7.42,0.493,,5.95,5.55,
,8.09,,7.07,0.481,,6.03,5.81,
13.02,8.14,7.12,7.15,0.475,0.93,6.12,5.90,82
,8.26,,7.33,0.487,,5.66,5.12,77
,8.06,,7.50,0.484,,5.77,5.67,89
,8.05,,7.20,0.487,,6.23,6.03,
,8.13,,7.26,0.484,,5.31,4.91,
,8.30,,6.98,0.487,,5.87,5.78,
13.20,8.38,7.26,6.53,0.486,1.13,5.53,4.99,88
,8.48,,6.87,0.487,,6.01,5.74,221
,8.29,,7.02,0.491,,5.96,5.74,159
,8.13,,6.53,0.492,,5.43,5.23,
,8.17,,6.92,0.493,,6.14,5.96,
,8.44,,6.73,0.498,,5.84,5.69,
,8.55,,7.25,0.492,,5.89,5.48,
13.10,8.15,7.16,7.36,0.491,1.09,5.64,5.08,206
,8.16,,6.71,0.485,,5.76,5.37,236
,8.38,,7.20,0.485,,5.45,5.17,131
,8.22,,7.24,0.484,,5.70,5.50,
,8.12,,7.14,0.489,,5.99,5.72,
,8.09,,6.80,0.480,,6.11,5.73,
,8.17,,7.54,0.496,,5.90,5.51,
13.46,8.03,7.05,7.79,0.496,1.20,5.81,5.40,141
,8.25,,7.08,0.487,,5.97,5.62,214
,8.68,,6.78,0.489,,6.16,5.80,181
,8.54,,6.87,0.484,,6.53,6.11,
,8.27,,6.72,0.483,,6.08,5.84,
,8.35,,6.93,0.484,,6.26,6.05,
13.50,8.17,6.87,6.89,0.482,0.80,5.42,5.15,71
,8.32,,6.91,0.484,,5.44,5.08,57
,8.15,,6.95,0.489,,5.88,5.53,40
,8.23,,6.99,0.483,,5.52,5.02,
,8.25,,6.95,0.485,,5.45,5.29,
12.68,7.88,6.95,6.48,0.491,0.94,5.72,5.50,198
,8.07,,6.49,0.498,,6.12,5.79,208
,7.90,,6.93,0.492,,5.12,4.75,176
,8.43,,6.76,0.491,,5.78,5.51,
13.09,7.87,7.29,6.49,0.488,1.13,5.84,5.75,30
,8.56,,6.92,0.497,,5.67,5.33,
,8.22,,6.92,0.495,,5.49,4.83,
,8.03,,7.07,0.485,,5.58,5.26,
,8.32,,7.19,0.492,,5.65,5.48,
,8.04,,7.08,0.491,,5.76,5.50,
12.67,8.01,7.37,6.92,0.491,1.55,5.42,5.02,224
,7.99,,6.80,0.487,,5.62,5.27,178
,7.96,,6.69,0.488,,5.50,4.94,
,8.23,,6.87,0.495,,5.66,5.62,
,8.26,,6.75,0.489,,5.65,5.57,
13.46,8.58,7.38,7.17,0.488,0.66,5.87,5.48,62
,8.58,,7.29,0.493,,5.71,5.58,
,8.58,,5.74,0.488,,5.99,5.87,
,8.38,,7.04,0.494,,5.80,5.61,
13.59,8.43,7.38,7.27,0.490,0.88,5.96,5.47,32
,7.96,,6.72,0.487,,5.93,5.60,20
,8.26,,7.40,0.494,,5.78,5.57,192
,8.45,,7.09,0.490,,5.72,5.50,
,8.42,,5.17,0.498,,5.78,5.60,
,8.03,,7.20,0.493,,5.91,5.71,
13.06,7.67,7.26,6.69,0.485,0.62,5.60,5.46,75
,7.80,,6.65,0.487,,5.83,5.60,123
,8.23,,6.76,0.486,,5.85,5.46,
,8.17,,6.34,0.494,,5.29,5.04,
,8.28,,6.74,0.491,,6.02,5.75,
,8.33,,6.93,0.487,,5.78,5.15,
13.29,8.51,7.22,6.99,0.481,1.35,6.00,5.78,121
,8.44,,6.49,0.494,,5.48,5.29,175
,7.98,,7.29,0.493,,5.69,5.25,185
,8.39,,7.46,0.484,,5.60,5.01,
,8.13,,6.63,0.487,,5.89,5.55,
,8.20,,7.12,0.487,,6.38,6.09,
,8.11,,7.22,0.483,,5.94,5.90,
13.38,8.23,7.15,6.79,0.489,1.01,6.06,5.73,256
,8.42,,7.27,0.493,,5.47,5.07,206
